Category,Question,Answer
--Antragstellung auf Kostenbasis (AZK),Darf ein/eine Antragsteller:in auch mehrere Anträge stellen?,"Es können von einer Rechtsperson gleichzeitig Anträge zu unterschiedlichen Förderbekanntmachungen eingereicht werden. Dabei ist sicher zu stellen, dass die vorhandenen Personalkapazitäten, sowie die …"
--Antragstellung auf Kostenbasis (AZK),Darf ich das Formular online signieren?,Das Easy-Online Formular darf auch online signiert und eingereicht werden. Dabei muss es sich um eine qualifizierte elektronische Signatur handeln. Dafür ist ein Kartenlesegerät mit Softwaretreiber …
--Antragstellung auf Kostenbasis (AZK),Dürfen Abschreibungskosten aufgeführt werden?,"Zuwendungsempfänger:innen, die auf Kostenbasis abrechnen, können Kosten für Abschreibungen auf ""vorhabenspezifische Anlagen"" in der Position 0847 beantragen. Zu beachten ist, dass es sich bei den …"
--Antragstellung auf Kostenbasis (AZK),Dürfen die Geräte abgeschrieben werden?,"Antrag auf Kostenbasis Abschreibungen für vorhabenspezifische Anlagen, die gesondert für das Vorhaben angeschafft oder hergestellt werden und nicht zur betriebsüblichen Grundausstattung gehören …"
--Antragstellung auf Kostenbasis (AZK),Dürfen die Vorhabenbeschreibungen in Englisch verfasst werden?,"Vorhabenbeschreibungen sind in deutscher Sprache zu verfassen. Ausnahmen können Projekte bilden, die im Rahmen einer europäischen Maßnahme durchgeführt werden. Nähere Informationen zu den …"
--Antragstellung auf Kostenbasis (AZK),"Dürfen Kosten für Veranstaltungen, Schulungen oder Seminare abgerechnet werden?","Kosten oder Ausgaben für Veranstaltungen, Schulungen oder Seminare sind mit dem Antrag zu beantragen. Wurden diese bewilligt, können sie abgerechnet werden. Ob Kosten oder Ausgaben für Veranstaltungen …"
--Antragstellung auf Kostenbasis (AZK),Gibt es eine finanzielle Obergrenze für Hotelbesuche?,Bei der Obergrenze für Hotelbesuche können Sie sich an das Bundesreisekostengesetz halten.
--Antragstellung auf Kostenbasis (AZK),Gibt es eine Vorlage für einen Teilantrag?,"Sofern Ihre Skizze im Rahmen des Auswahlverfahrens ausgewählt wurde, erhalten Sie von VDIVDE IT GmbH eine E-Mail mit allen wichtigen Informationen zur Antragstellung. Der Link zu Antragstellung in …"
--Antragstellung auf Kostenbasis (AZK),Gibt es einen Höchstwert für Aufträge?,Es gibt keinen Höchstwert für Aufträge. Jedoch muss das Verhältnis von Eigentätigkeit im Projekt und Fremdleistung in Verhältnis stehen. Ab bestimmten Auftragssummen bei FE-Aufträgen ist auch ein …
--Antragstellung auf Kostenbasis (AZK),In welcher Höhe werden KMU gefördert?,"Die Förderhöhe für KMU, sowie die Möglichkeit der Berücksichtigung eines KMU Bonus, sind der jeweiligen Förderbekanntmachung zu entnehmen."
--Antragstellung auf Kostenbasis (AZK),In welcher Position des Antrages sollen die Ausgaben für Publikationen angesetzt werden?,In der Position 0843 dürfen Sie Kosten und die Ausgaben für Publikationen ansetzen. Ausgaben für Publikationen sind im Antrag in der Position 0841 zu planen und dafür die Bezeichnung Publikationen zu …
--Antragstellung auf Kostenbasis (AZK),In welcher Position können Fortbildungen angesetzt bzw. abgerechnet werden?,Assoziierte Partnern nehmen Aufgaben im Projekt wahr. Diese sind allerdings gegenüber den Fördermittelgeber:innen nicht rechenschaftspflichtig. Der Konsortialvertrag stellt daher eine gute Option dar …
--Antragstellung auf Kostenbasis (AZK),In welcher Position können Fortbildungen angesetzt bzw. abgerechnet werden?,"Fortbildungen sollten unbedingt mit dem Projektträger abgestimmt werden und sind nur förderfähig, wenn ihre Notwendigkeit ausschließlich im bewilligten Projekt begründet ist. Auf Kostenbasis erfolgt …"
--Antragstellung auf Kostenbasis (AZK),Ist der Mietwagen zuwendungsfähig?,Die Kosten oder Ausgaben für die Nutzung von Mietwagen können zuwendungsfähig sein. Die Notwendigkeit ist im Antrag ausführlich zu begründen und die Nutzung muss ausschließlich für Vorhabenzwecke …
--Antragstellung auf Kostenbasis (AZK),Ist Öffentlichkeitsarbeit förderfähig?,Öffentlichkeitsarbeit ist per se nicht förderfähig. Manche Bekanntmachungen haben jedoch öffentlichkeitswirksame Aspekte im Fokus - hier ist bei der Antragstellung der Rahmen und Umfang der …
--Antragstellung auf Kostenbasis (AZK),Kann die pdf-Endfassung eines Antrages auf Zuwendung nachträglich bearbeitet werden?,"Kleine Änderungen, die nicht die beantragte Zuwendung erhöhen, können in Abstimmung mit dem Projektträger handschriftlich in der ausgedruckten Endfassung vermerkt werden. Sollten Änderungen auf …"
--Antragstellung auf Kostenbasis (AZK),Kann die Position 0817 überschritten werden?,"Bei der Position 0817 handelt es sich um eine Personalausgaben-Position. Positionsüberschreitungen sind grundsätzlich möglich. Wird eine Position um bis zu 20 % überzogen, ist kein Antrag auf …"
--Antragstellung auf Kostenbasis (AZK),Kann ich den Antrag auch ohne qualifizierte elektronische Signatur nur digital einreichen?,Das Easy-Online Formular kann auch ohne digitale Signatur ausschließlich digital eingereicht werden. Wählen Sie dazu das TAN Verfahren aus den drei möglichen Einreichungsarten im easy-Online Portal.
--Antragstellung auf Kostenbasis (AZK),Können auch administrativ im Projekt tätige Mitarbeitende im Projekt abgerechnet werden?,Für das Projekt administrativ tätiges Personal bzw. administrative Tätigkeiten sind grundsätzlich nicht zuwendungsfähig. Diese Tätigkeiten und das entsprechende Personal ist in der Regel bereits …
--Antragstellung auf Kostenbasis (AZK),Können ausländische Partner/Firmen/Universitäten eingebunden werden?,"Grundsätzlich ist antragsberechtigt, wer zum Zeitpunkt der Auszahlung einer gewährten Zuwendung eine Betriebsstätte oder Niederlassung in Deutschland hat. Details zur Antragsberechtigung sind der …"
--Antragstellung auf Kostenbasis (AZK),Können in einem Projekt Mitarbeitende auch in anderen Projekten mitarbeiten und abgerechnet werden?,Eine in einem Projekt mitarbeitende Person an einer Hochschule kann auch in einem anderen Förderprojekt mitarbeiten. Das muss eindeutig und nachvollziehbar im Arbeitsvertrag ersichtlich sein. Die …
--Antragstellung auf Kostenbasis (AZK),Muss bei der Beantragung zwingend eine Teilvorhabensbeschreibung mitgesendet werden?,"Ausnahmen sind möglich. Bei Einzelvorhaben und sehr kleinen Verbünden kann auf eine gesonderte TVB verzichtet werden, wenn eine sehr ausführliche und vollständige Gesamtvorhabensbeschreibung …"
--Antragstellung auf Kostenbasis (AZK),Muss der Projektkoordinator die Reisekosten der assoziierten Partner finanzieren oder jemand Anderes?,Für assoziierte Partner:innen werden keine Reisekosten/-ausgaben übernommen. Diese haben die assoziierten Partner:innen selber zu tragen.
--Antragstellung auf Kostenbasis (AZK),Muss die Projektskizze zwingend unterschrieben sein?,Die Projektskizze ist kein formaler Förderantrag und nicht mit einer rechtsverbindlichen Unterschrift zu versehen. Die Skizzen sind in digitaler Form über das Online-Skizzentool easy-Online für die …
--Antragstellung auf Kostenbasis (AZK),Müssen die Antragsteller:innen in Deutschland ansässig sein?,Der Kreis der Antragsberechtigten wird in den jeweiligen Förderrichtlinien festgelegt. Je nach Vorhaben und Förderrichtlinie können die Bedingungen unterschiedlich ausfallen. Zum Teil wird für die …
--Antragstellung auf Kostenbasis (AZK),Müssen die Teilnehmenden eines Verbundprojekts eine Kooperationsvereinbarung vorlegen?,"Einzelheiten der Zusammenarbeit regeln die Partner:innen durch eine schriftliche Kooperationsvereinbarung, für die kein Vertragsmuster vorgegeben ist. Aus dieser muss ersichtlich sein, dass kein …"
--Antragstellung auf Kostenbasis (AZK),Nach welcher Abrechnungsart muss ich meinen Antrag machen: nach LSP oder pauschalierte Abrechnung?,Derzeit ist die Beantragung der pauschalierten Abrechnung nur mit Einschränkungen möglich. Die bisher gemäß NKBF2017 gewährte Pauschale ist bei Neubewilligung aufgrund einer AGVO-Änderung nicht mehr …
--Antragstellung auf Kostenbasis (AZK),Sind Ausgaben/Kosten für die Antragstellung förderfähig?,"Ausgaben/Kosten, die durch den Prozess der Antragstellung verursacht werden, liegen zeitlich vor dem Laufzeitbeginn des Vorhabens und sind daher nicht zuwendungsfähig."
--Antragstellung auf Kostenbasis (AZK),Sind Brutto- oder Nettokosten zu beantragen und abzurechnen?,"Beträge sind inkl. der MwSt. anzusetzen und auch abzurechnen, wenn der Zuwendungsempfänger/ die Zuwendungsempfängerin nicht zum Vorsteuerabzug berechtigt ist. Wenn eine Vorsteuerabzugsberechtigung …"
--Antragstellung auf Kostenbasis (AZK),Sind Kosten für die Einrichtung und Nutzung der qualifizierten Signatur förderfähig?,Die Kosten für Einrichtung und Nutzung von qualifizierter Signatur sind nicht förderfähig.
--Antragstellung auf Kostenbasis (AZK),Sind Mittel für Websites/Social Media förderfähig?,"Die Bewilligung von Ausgaben/Kosten für Websites (z. B. mit Blog) zur Information der Öffentlichkeit und zur Kommunikation ist prinzipiell möglich (Wissenschaftskommunikation), solange dies nicht der …"
--Antragstellung auf Kostenbasis (AZK),Sind Publikationskosten förderfähig?,"Kosten für Publikationen, die für die Zielerreichung des Projekts notwendig sind, sind förderfähig."
--Antragstellung auf Kostenbasis (AZK),Soll man die Anzahl der Beschäftigte als Vollzeitäquivalente angeben?,Bei der Prüfung zum KMU Status wird die Anzahl der Beschäftigten in Bezug auf Vollzeitäquivalente betrachtet. Zwei Personen mit 50% Stellen sind als ein Beschäftigter anzugeben.
--Antragstellung auf Kostenbasis (AZK),Soll man die Anzahl der Beschäftigte als Vollzeitäquvalente angeben?,Allen gemeinnützigen Vereinen und Organisationen ist es gestattet Fördergelder zu beantragen.
--Antragstellung auf Kostenbasis (AZK),Unter welchen Umständen kann ich mit Partnern aus dem europäischen Ausland zusammen arbeiten?,"Es muss nachgewiesen werden, dass die ausländischen Kooperationspartner:innen einen unersetzlichen Mehrwert für das Projekt bieten, welcher von keinem Partner im europäischen Ausland zu leisten ist."
--Antragstellung auf Kostenbasis (AZK),Wann beginnt ein Vorhaben?,Der mögliche Start (Laufzeitbeginn) eines Fördervorhabens ist ggf. mit den Verbundpartnern und mit dem Projektträger abzustimmen. Alle Bestellvorgänge und Arbeiten im Rahmen des Projektes dürfen erst …
--Antragstellung auf Kostenbasis (AZK),Wann soll der Finanzierungsplan eingereicht werden?,Eine erste Abschätzung der für ein Vorhaben anfallenden Kosten bzw. Ausgaben ist dem Projektkoordinator für die Einreichung der Skizze zur Verfügung zu stellen. Die detaillierte Kalkulation der …
--Antragstellung auf Kostenbasis (AZK),Wann werden Brutto- oder Nettoausgaben im Projekt anerkannt?,"Ob Brutto- und Nettoausgaben beantragt bzw. abgerechnet werden können, hängt davon ab, ob der/die Zuwendungsempfänger:in vorsteuerabzugsberechtigt ist oder nicht. Wenn eine Vorsteuerabzugsberechtigung …"
--Antragstellung auf Kostenbasis (AZK),Warum wird der Verwendungsnachweis von einer dritten Firma geprüft?,"Die FILINA Innovation + Technik GmbH ist eine Tochterfirma der VDI/VDE Innovation + Technik GmbH. Um die Prüfung von Verwendungsnachweisen schnellstmöglich durchführen zu können, unterstützt die …"
--Antragstellung auf Kostenbasis (AZK),Warum wurden die Mittel für das Projekt nicht entsprechend des geplanten Mittelbedarfs festgelegt?,"Im Erstbescheid ist eine jährliche Bereitstellung der Mittel entsprechend des Antrags aus haushaltstechnischen Gründen häufig nicht möglich. In jedem Jahr wird allerdings mehrmals geprüft, ob die …"
--Antragstellung auf Kostenbasis (AZK),Was bedeutet pauschalierte Abrechnung?,"Die pauschalierte Abrechnung ist eine Abrechnung auf Kostenbasis. Voraussetzung ist, dass der Zuwendungsempfänger auf Kostenbasis gefördert werden kann. Sie stellt eine Möglichkeit dar, die Abrechnung …"
--Antragstellung auf Kostenbasis (AZK),Was ist der Unterschied zwischen Antragsteller:innen und Vertragspartner:innen?,Der Antragstellenden werden nach erfolgreicher Prüfung des Antrages zu Zuwendungsempfänge:innen. Die Vertragspartner:innen sind beispielsweise ein(e) Unterauftragnehmer:in des Antragstellers (der …
--Antragstellung auf Kostenbasis (AZK),Was ist die AGVO?,"Die Allgemeine Gruppenfreistellungsverordnung (AGVO) regelt, dass bestimmte staatliche Fördermaßnahmen von den Mitgliedstaaten ohne weitere Genehmigung durch die Europäische Kommission umgesetzt …"
--Antragstellung auf Kostenbasis (AZK),Was ist die maximale Zuwendung für KMU Innovativ?,"Sollte die Höhe der Zuwendung beschränkt sein, ist dies der Förderbekanntmachung zu entnehmen. Ist hier keine Einschränkung zu finden, werden die Anträge rein nach Ihrer Qualität bewertet."
--Antragstellung auf Kostenbasis (AZK),Was ist eine N.N. Stelle?,"Werden Anträge auf Ausgabenbasis gestellt, ist im Antrag anzugeben, ob das beantragte Personal namentlich bekannt ist oder namentlich noch nicht bekannt ist. Um namentlich nicht bekanntes Personal (N …"
--Antragstellung auf Kostenbasis (AZK),"Was passiert, wenn ich keinen Kooperationsvertrag bei der Antragstellung einreichen kann?",Die Zusammenarbeit in einem Verbundprojekt regeln die Partner:innen in einer schriftliche Kooperationsvereinbarung. Wenn die Vereinbarung zum Zeitpunkt der Antragstellung noch nicht geschlossen wurde …
--Antragstellung auf Kostenbasis (AZK),"Was passiert, wenn mein Vorhaben nicht zur Fördermaßnahme passt?","Die Antragsteller:innen haben im Vorfeld die Möglichkeit, die Förderberatung des Bundes in Anspruch zu nehmen. E-Mail: beratung@foerderinfo.bund.de Internet: www.foerderinfo.bund.de Gebührenfreie …"
--Antragstellung auf Kostenbasis (AZK),Was sind Gemeinkosten?,"Als Gemeinkosten werden Kosten bezeichnet, die sich im Unternehmen nicht einem bestimmten Kostenträger bzw. einer Kostenstelle zuordnen lassen. Der Gegenbegriff zu den Gemeinkosten sind die …"
--Antragstellung auf Kostenbasis (AZK),Was sind Personenmonate?,"Ein Personenmonat ist die durchschnittliche produktive Arbeitszeit in Stunden, die von einer Person in einem Kalendermonat erbracht wird (ausgehend von einer Vollzeitstelle unter Berücksichtigung von …"
--Antragstellung auf Kostenbasis (AZK),Was soll der Inhalt meiner Unterlagen sein?,In der Vorhabenbeschreibung müssen alle relevanten Informationen enthalten sein. Diese beinhaltet eine ausführliche Darstellung des Projektinhalts mit Begründung und Beschreibung der Zielstellung des …
--Antragstellung auf Kostenbasis (AZK),Was steckt hinter dem Begriff „Computerhardware“?,"Der Begriff „Computerhardware“ umfasst Computer, Desktop-Computer, Notebook-Computer, Desktop-Thin-Clients, Workstations, Dockingstations, externe Speicher- und Datenverarbeitungsgeräte (Small-Scale …"
--Antragstellung auf Kostenbasis (AZK),Welche Ausgaben bzw. Kosten können beantragt werden?,"Welche Kostenkategorien für Beihilfen an Unternehmen beantragt werden können, richtet sich nach den in der jeweiligen im Bundesanzeiger veröffentlichten Bekanntmachung zugelassenen Artikeln der …"
--Antragstellung auf Kostenbasis (AZK),Welche Förderquoten sind für Zuwendungsempfänger:innen möglich?,Die maximal mögliche Höhe der Förderquote wird in der Regel in der jeweiligen Förderrichtlinie bekannt gegeben. Die Höhe liegt im förderpolitischen Ermessen des zuständigen Fachministeriums. Maßgebend …
--Antragstellung auf Kostenbasis (AZK),Welche Inhalte sollen im Kooperationsvertrag enthalten sein?,"Im Formularschrank des Bundes ist ein ""Merkblatt für Antragsteller/Zuwendungsempfänger zur Zusammenarbeit der Partner von Verbundprojekten"" verfügbar mit Hinweisen zum Kooperationsvertrag. Eine …"
--Antragstellung auf Kostenbasis (AZK),Welche Laufzeit hat ein Förderprojekt?,"Die Laufzeit ist der Leistungszeitraum, in dem ein Förderprojekt durchgeführt wird und entspricht dem Bewilligungszeitraum. Die Länge der Laufzeit ergibt sich u.a. aus dem Arbeitsplan des Projekts und …"
--Antragstellung auf Kostenbasis (AZK),Welche Nebenbestimmungen und Richtlinien gelten?,"Die geltenden Richtlinien und Nebenbestimmungen sind der im Bundesanzeiger veröffentlichten Förderrichtlinie zu entnehmen. Das BMBF fördert grundsätzlich nach den ""Nebenbestimmungen für Zuwendungen …"
--Antragstellung auf Kostenbasis (AZK),Welche Personalausgaben sind förderfähig und können in der Vorkalkulation beantragt werden?,"Ausgabenförderung Nur tariflich bzw. arbeitsvertraglich festgeschriebene Gehälter sind bei der Antragstellung anzusetzen. Wenn das Personal noch nicht bekannt ist, sind die Obergrenze für NN-Personal …"
--Antragstellung auf Kostenbasis (AZK),Welche Reisen können im Projekt abgerechnet werden?,"Ausgaben/Kosten für Reisen, die in unmittelbarem Projektkontext stehen und für das Vorhaben erforderlich sind, können als förderfähige Ausgaben/Kosten geltend gemacht werden. Bei Anträgen von …"
--Antragstellung auf Kostenbasis (AZK),Welche Unterlagen muss ich einreichen?,"Welches Formular für Sie das richtige ist, teilt Ihnen der Projektträger mit der Aufforderung zur Antragstellung mit. Folgende Unterlagen sind im Rahmen der Antragstellung einzureichen: Antrag mit …"
--Antragstellung auf Kostenbasis (AZK),Welche Verordnung gilt bei der Reisekostenabrechnung?,"Bitte richten Sie sich nach dem Bundesreisekostengesetz, wenn Sie nach Reisekostenabrechnung suchen."
--Antragstellung auf Kostenbasis (AZK),Welchen Umfang soll/darf die Vorhabenbeschreibung haben?,Der Umfang richtet sich nach Ihrem Vorhaben. Bitte verwenden Sie diese Vorlage .
--Antragstellung auf Kostenbasis (AZK),Welcher Gemeinkostenzuschlag ist bei der pauschalierten Abrechnung erlaubt?,Derzeit ist die Beantragung der pauschalierten Abrechnung nur mit Einschränkungen möglich. Die bisher gemäß NKBF2017 gewährte Pauschale ist bei Neubewilligung aufgrund einer AGVO-Änderung nicht mehr …
--Antragstellung auf Kostenbasis (AZK),Welcher TVöD Satz beim Besserstellungsverbot ist bei der Abrechnung zu berücksichtigen?,"Wenn die Gesamtausgaben des Zuwendungsempfängers überwiegend aus Zuwendungen der öffentlichen Hand bestritten werden, darf er seine Beschäftigten nicht besser stellen als vergleichbare …"
--Antragstellung auf Kostenbasis (AZK),Wer erhält die Projektpauschale?,Hochschulen (staatliche und nicht staatliche) und Universitätskliniken (unabhängig von der Rechtsform) können für Forschungsvorhaben ergänzend zu dem Zuschuss zu den zuwendungsfähigen Ausgaben …
--Antragstellung auf Kostenbasis (AZK),Wer kann rechtsverbindlich unterschreiben?,"Bitte erfragen Sie intern, welche Personen Ihres Unternehmens/ Ihrer Hochschule eine rechtsverbindliche Unterschrift leisten können. Für Unternehmen: Sie finden die Angaben im Handelsregisterauszug …"
--Antragstellung auf Kostenbasis (AZK),Wie hoch dürfen die Kosten/Ausgaben für FuE-Unteraufträge sein?,"Die Ausgaben/Kosten für FuE-Unteraufträge sollten nicht höher sein, als die Aufwendungen für die eigenen FuE-Aktivitäten in den Personalausgaben/kosten."
--Antragstellung auf Kostenbasis (AZK),Wie hoch sind die Gemeinkosten anzusetzen in einer AZK Abrechnung?,"Die Gemeinkosten bei der Abrechnung nach PreisLS sind sachgerecht von jedem Zuwendungsempfänger zu ermitteln. Bitte schauen Sie sich hierzu die NKBF2017 Nr. 2.2.1 in Verbindung mit den ""Leitsätzen für …"
--Antragstellung auf Kostenbasis (AZK),Wie kann ich einen Antrag zurückziehen?,Die Rücknahme eines Antrags ist schriftlich zu stellen und bedarf einer rechtsverbindlichen Unterschrift (Papierform) bzw. einer qualifizierten digitalen Signatur (elektronisch).
--Antragstellung auf Kostenbasis (AZK),Wie können Mittel von einer Position in eine andere verschoben werden - Mittelumwidmung?,"Sie können über Easy-Online in den Haushaltsdaten einen Antrag auf Mittelumwidmung stellen. Der ist soll ausreichend zu begründen werden. Wird dem Antrag zugestimmt, erhalten Sie einen …"
--Antragstellung auf Kostenbasis (AZK),Wie schicke ich die Formulare ab?,"Der Antrag ist grundsätzlich postalisch, durch persönliche Übergabe oder per Boten einzureichen. Die Schriftform kann auch durch die elektronische Form ersetzt werden, sofern: die elektronischen …"
--Antragstellung auf Kostenbasis (AZK),Wie soll die Vorhabenbeschreibung gegliedert werden?,"Die Vorhabensbeschreibung ist Bestandteil des Antrags. Sie ist notwendig, damit das BMBF prüfen kann, ob das Vorhaben förderwürdig ist und an seiner Durchführung ein erhebliches Bundesinteresse …"
--Antragstellung auf Kostenbasis (AZK),Wie viele Partner sind für ein Förderprojekt erlaubt?,"Sollte es eine Beschränkung für die Anzahl der Verbundpartner geben, ist diese in der Förderrichtline zu finden."
--Antragstellung auf Kostenbasis (AZK),Wie werden KMU definiert?,"Nach der Definition der Europäischen Kommission (KOM) sind kleine und mittlere Unternehmen (KMU) solche, die weniger als 250 Personen beschäftigen und die entweder einen Jahresumsatz von höchstens 50 …"
--Antragstellung auf Kostenbasis (AZK),Wie wird über das Ergebnis der Skizzenauswahl informiert?,"Die Skizzeneinreichenden, im Falle von Verbundprojekten der Koordinator, erhalten per E-Mail eine Zusage zur Förderung oder eine Absage zugesandt."
--Antragstellung auf Kostenbasis (AZK),Wo finde ich die Vorlage zur Teilvorhabenbeschreibung?,"Je nachdem auf welcher Basis Sie Fördermitteln beantragen, verwenden Sie die jeweiligen Teilvorhabenbeschreibung für AZK und jeweils die Teilvorhabenbeschreibung für AZA ."
--Antragstellung auf Kostenbasis (AZK),Wo finde ich eine Auflistung geförderter Projekte?,Alle aktuellen von BMBF geförderten Projekten finden Sie auf der offiziellen BMBF Seite .
--Antragstellung auf Kostenbasis (AZK),Wo ist der Formularschrank?,Den Formularschrank finden sie unter der folgenden URL .
--Antragstellung auf Kostenbasis (AZK),Wo reiche ich die erste Stufe des Antrages ein?,Im mehrstufigen Antragsverfahren erfolgt zuerst die Skizzeneinreichung. Den Link dafür entnehmen Sie bitte der entsprechenden Bekanntmachung.
--Antragstellung auf Kostenbasis (AZK),Wo sind Kosten für Miete in einer Zahlungsanweisung einzutragen?,"Wenn Mietausgaben bewilligt wurden, sind diese bei der Abrechnung auf Ausgabenbasis unter der Position 0832 (Mieten) ansatzfähig."
---Allgemeine Informationen,Ab welcher Grenze müssen bei einer Beauftragung mehrere Angebote eingeholt werden?,"Der Projektträger kann an dieser Stelle leider keine Vergaberechtsberatung durchführen. Bei der Vergabe eines Auftrages sind die einschlägigen Bestimmungen der Unterschwellenvergabeordnung (UVgO), der …"
---Allgemeine Informationen,Darf ein/eine Antragsteller:in auch mehrere Anträge stellen?,"Es können von einer Rechtsperson gleichzeitig Anträge zu unterschiedlichen Förderbekanntmachungen eingereicht werden. Dabei ist sicher zu stellen, dass die vorhandenen Personalkapazitäten, sowie die …"
---Allgemeine Informationen,Dürfen die Vorhabenbeschreibungen in Englisch verfasst werden?,"Vorhabenbeschreibungen sind in deutscher Sprache zu verfassen. Ausnahmen können Projekte bilden, die im Rahmen einer europäischen Maßnahme durchgeführt werden. Nähere Informationen zu den …"
---Allgemeine Informationen,In welcher Höhe werden KMU gefördert?,"Die Förderhöhe für KMU, sowie die Möglichkeit der Berücksichtigung eines KMU Bonus, sind der jeweiligen Förderbekanntmachung zu entnehmen."
---Allgemeine Informationen,In welcher Position des Antrages sollen die Ausgaben für Publikationen angesetzt werden?,In der Position 0843 dürfen Sie Kosten und die Ausgaben für Publikationen ansetzen. Ausgaben für Publikationen sind im Antrag in der Position 0841 zu planen und dafür die Bezeichnung Publikationen zu …
---Allgemeine Informationen,Kann die pdf-Endfassung eines Antrages auf Zuwendung nachträglich bearbeitet werden?,"Kleine Änderungen, die nicht die beantragte Zuwendung erhöhen, können in Abstimmung mit dem Projektträger handschriftlich in der ausgedruckten Endfassung vermerkt werden. Sollten Änderungen auf …"
---Allgemeine Informationen,Muss bei der Beantragung zwingend eine Teilvorhabensbeschreibung mitgesendet werden?,"Ausnahmen sind möglich. Bei Einzelvorhaben und sehr kleinen Verbünden kann auf eine gesonderte TVB verzichtet werden, wenn eine sehr ausführliche und vollständige Gesamtvorhabensbeschreibung …"
---Allgemeine Informationen,Muss die Projektskizze zwingend unterschrieben sein?,Die Projektskizze ist kein formaler Förderantrag und nicht mit einer rechtsverbindlichen Unterschrift zu versehen. Die Skizzen sind in digitaler Form über das Online-Skizzentool easy-Online für die …
---Allgemeine Informationen,Müssen die Antragsteller:innen in Deutschland ansässig sein?,Der Kreis der Antragsberechtigten wird in den jeweiligen Förderrichtlinien festgelegt. Je nach Vorhaben und Förderrichtlinie können die Bedingungen unterschiedlich ausfallen. Zum Teil wird für die …
---Allgemeine Informationen,Sind Ausgaben/Kosten für die Antragstellung förderfähig?,"Ausgaben/Kosten, die durch den Prozess der Antragstellung verursacht werden, liegen zeitlich vor dem Laufzeitbeginn des Vorhabens und sind daher nicht zuwendungsfähig."
---Allgemeine Informationen,Sind Kosten für die Einrichtung und Nutzung der qualifizierten Signatur förderfähig?,Die Kosten für Einrichtung und Nutzung von qualifizierter Signatur sind nicht förderfähig.
---Allgemeine Informationen,Soll man die Anzahl der Beschäftigte als Vollzeitäquivalente angeben?,Bei der Prüfung zum KMU Status wird die Anzahl der Beschäftigten in Bezug auf Vollzeitäquivalente betrachtet. Zwei Personen mit 50% Stellen sind als ein Beschäftigter anzugeben.
---Allgemeine Informationen,Soll man die Anzahl der Beschäftigte als Vollzeitäquvalente angeben?,Allen gemeinnützigen Vereinen und Organisationen ist es gestattet Fördergelder zu beantragen.
---Allgemeine Informationen,Wann beginnt ein Vorhaben?,Der mögliche Start (Laufzeitbeginn) eines Fördervorhabens ist ggf. mit den Verbundpartnern und mit dem Projektträger abzustimmen. Alle Bestellvorgänge und Arbeiten im Rahmen des Projektes dürfen erst …
---Allgemeine Informationen,Wann werden Brutto- oder Nettoausgaben im Projekt anerkannt?,"Ob Brutto- und Nettoausgaben beantragt bzw. abgerechnet werden können, hängt davon ab, ob der/die Zuwendungsempfänger:in vorsteuerabzugsberechtigt ist oder nicht. Wenn eine Vorsteuerabzugsberechtigung …"
---Allgemeine Informationen,Warum wird der Verwendungsnachweis von einer dritten Firma geprüft?,"Die FILINA Innovation + Technik GmbH ist eine Tochterfirma der VDI/VDE Innovation + Technik GmbH. Um die Prüfung von Verwendungsnachweisen schnellstmöglich durchführen zu können, unterstützt die …"
---Allgemeine Informationen,Warum wurden die Mittel für das Projekt nicht entsprechend des geplanten Mittelbedarfs festgelegt?,"Im Erstbescheid ist eine jährliche Bereitstellung der Mittel entsprechend des Antrags aus haushaltstechnischen Gründen häufig nicht möglich. In jedem Jahr wird allerdings mehrmals geprüft, ob die …"
---Allgemeine Informationen,Was bedeutet pauschalierte Abrechnung?,"Die pauschalierte Abrechnung ist eine Abrechnung auf Kostenbasis. Voraussetzung ist, dass der Zuwendungsempfänger auf Kostenbasis gefördert werden kann. Sie stellt eine Möglichkeit dar, die Abrechnung …"
---Allgemeine Informationen,Was ist der Unterschied zwischen Antragsteller:innen und Vertragspartner:innen?,Der Antragstellenden werden nach erfolgreicher Prüfung des Antrages zu Zuwendungsempfänge:innen. Die Vertragspartner:innen sind beispielsweise ein(e) Unterauftragnehmer:in des Antragstellers (der …
---Allgemeine Informationen,Was ist die AGVO?,"Die Allgemeine Gruppenfreistellungsverordnung (AGVO) regelt, dass bestimmte staatliche Fördermaßnahmen von den Mitgliedstaaten ohne weitere Genehmigung durch die Europäische Kommission umgesetzt …"
---Allgemeine Informationen,Welche Förderquoten sind für Zuwendungsempfänger:innen möglich?,Die maximal mögliche Höhe der Förderquote wird in der Regel in der jeweiligen Förderrichtlinie bekannt gegeben. Die Höhe liegt im förderpolitischen Ermessen des zuständigen Fachministeriums. Maßgebend …
---Allgemeine Informationen,Welche Inhalte sollen im Kooperationsvertrag enthalten sein?,"Im Formularschrank des Bundes ist ein ""Merkblatt für Antragsteller/Zuwendungsempfänger zur Zusammenarbeit der Partner von Verbundprojekten"" verfügbar mit Hinweisen zum Kooperationsvertrag. Eine …"
---Allgemeine Informationen,Welche Laufzeit hat ein Förderprojekt?,"Die Laufzeit ist der Leistungszeitraum, in dem ein Förderprojekt durchgeführt wird und entspricht dem Bewilligungszeitraum. Die Länge der Laufzeit ergibt sich u.a. aus dem Arbeitsplan des Projekts und …"
